陰月的幻影,OB_OBOROGENSOU
太陽英姿,SJ_SUNSTANCE
太陽爆炸,SJ_SOLARBURST
紅焰腳,SJ_PROMINENCEKICK
巨人靈魂,SP_SOULGOLEM
影子靈魂,SP_SOULSHADOW
隼鷹靈魂,SP_SOULFALCON
精靈靈魂,SP_SOULFAIRY
邪靈爆炸,SP_CURSEEXPLOSION
邪惡靈魂詛咒,SP_SOULCURSE
艾斯帕,SP_SPA
艾斯哈,SP_SHAエスハ
艾斯核,SP_SWHOO
靈魂集結,SP_SOULUNITY
靈魂分裂,SP_SOULDIVISION
靈魂收割,SP_SOULREAPER
靈魂蓄積,SP_SOULCOLLECT
靈魂循環,SP_SOULREVOLVE
靈魂引爆,SP_SOULEXPLOSION
凱渥特,SP_KAUTE
靈魂能量研究,SP_SOULENERGY
流星殞落,SJ_FALLINGSTAR_ATK2
流星殞落,SJ_FALLINGSTAR_ATK
全素質下降,NPC_ALL_STAT_DOWN
重力增加,NPC_GRADUAL_GRAVITY
轉禍為福,NPC_DAMAGE_HEAL
屬性免疫,NPC_IMMUNE_PROPERTY
位置轉換,NPC_MOVE_COORDINATE
衝鋒旗飄揚,GD_CHARGESHOUT_FLAG
吹響衝鋒號角,GD_CHARGESHOUT_BEATING
緊急移動,GD_EMERGENCY_MOVE
突破極限,NV_BREAKTHROUGH
救援天使!,NV_HELPANGEL
心靈超越,NV_TRANSCENDENCE
暗黑之賜福,NPC_DARKBLESSING
惡魔死亡天譴,NPC_HELLJUDGEMENT2
冰凍穿孔,NPC_JACKFROST
流星雨,NPC_COMET
碧血隕石,WL_CRIMSONROCK
毀滅彗星,WL_COMET
靈魂爆炸,WL_SOULEXPANSION
召喚水球,WL_SUMMONWB
地獄火焰,WL_HELLINFERNO
地牛翻身,WL_EARTHSTRAIN
凍僵術,WL_JACKFROST ジャックフロスト
寒冰濃霧,WL_FROSTMISTY
召喚雷電球,WL_SUMMONBL
釋放,WL_RELEASE
召喚石塊,WL_SUMMONSTONE
召喚火焰球,WL_SUMMONFB
閱\讀魔法書,WL_READING_SB
閱\讀魔法書,WL_READING_SB_READING
十字斬,GC_CROSSIMPACT
百矛穿刺,RK_HUNDREDSPEAR
盧恩爆發,RK_LUXANIMA
午夜狂暴,MH_MIDNIGHT_FRENZY
強酸火煙瓶投擲,CR_ACIDDEMONSTRATION
殘響,WM_REVERBERATION
重金屬音樂,WM_METALICSOUND
雷光彈,SR_RIDEINLIGHTNING
獅子吼,SR_HOWLINGOFLION
虎砲,SR_TIGERCANNON
潛龍昇天,SR_RAISINGDRAGON
閃光連擊,SR_FLASHCOMBO
大纏崩墜,SR_FALLENEMPIRE
雙龍腳,SR_DRAGONCOMBO
天羅地網,SR_SKYNETBLOW
爆氣散彈,SR_RAMPAGEBLASTER
風壓飛刃,RK_WINDCUTTER
戰斧颶風,NC_AXETORNADO
加農砲,NC_ARMSCANNONアームズキャノン
火神砲,NC_VULCANARM
揮斧重擊,NC_POWERSWING
噴射飛拳,NC_BOOSTKNUCKLE
聖冕加護,LG_REFLECTDAMAGE
支配烙印,LG_OVERBRAND
盾咒,LG_SHIELDSPELL
大地毀滅,LG_EARTHDRIVE
黃昏星之光,LG_HESPERUSLIT
魔力增幅,HW_MAGICPOWER
銳利射擊,SN_SHARPSHOOTING
箭雨風暴,RA_ARROWSTORM
吸血植物,GN_BLOOD_SUCKER
手推車龍捲風,GN_CART_TORNADO
心靈震波,ASC_BREAKER
復活生命體,AM_RESURRECTHOMUN
岩壁,MH_STEINWAND
安息,AM_REST
生命體召喚,AM_CALLHOMUN
鎮痛劑,MH_PAIN_KILLER
劇毒粉,MH_POISON_MIST
聖刺,MH_HEILIGE_STANGE
死侍武器,DK_SERVANTWEAPON
死侍武器-標記,DK_SERVANT_W_SIGN
死侍武器-瞬幻,DK_SERVANT_W_PHANTOM
死侍武器-破滅,DK_SERVANT_W_DEMOL
蓄力刺擊,DK_CHARGINGPIERCE
雙向防禦,DK_TWOHANDDEF
橫揮斬,DK_HACKANDSLASHER
天龍光環,DK_DRAGONIC_AURA
狂暴粉碎,DK_MADNESS_CRUSHER
活力之源,DK_VIGOR
致命放射,AG_DEADLY_PROJECTION
毀滅颶風,AG_DESTRUCTIVE_HURRICANE
冰晶飛瀑,AG_RAIN_OF_CRYSTAL
神秘幻滅,AG_MYSTERY_ILLUSION
震裂術,AG_VIOLENT_QUAKE
靈魂連擊,AG_SOUL_VC_STRIKE
地層震動,AG_STRANTUM_TREMOR
萬紫千紅,AG_ALL_BLOOM
水晶波爆,AG_CRYSTAL_IMPACT
龍捲風暴,AG_TORNADO_STORM
焰火之徑,AG_FLORAL_FLARE_ROAD
星際突襲,AG_ASTRAL_STRIKE
巨石降臨,AG_ROCK_DOWN
暴風加農砲,AG_STORM_CANNON
豔紅魔矢,AG_CRIMSON_ARROW
冰刃斬,AG_FROZEN_SLASH
雙手杖使用熟練度,AG_TWOHANDSTAFF
堅毅信念,IQ_POWERFUL_FAITH
堅定信念,IQ_FIRM_FAITH
信念意志,IQ_WILL_OF_FAITH
聖油洗禮,IQ_OLEUM_SANCTUM
真誠信念,IQ_SINCERE_FAITH
第一擊:烙印,IQ_FIRST_BRAND
首章:信仰之力,IQ_FIRST_FAITH_POWER
第三擊:懲治,IQ_THIRD_PUNISH
第三擊:火焰彈,IQ_THIRD_FLAME_BOMB
第三擊:淨化,IQ_THIRD_CONSECRATION
第二擊:火焰滅絕,IQ_SECOND_FLAME
第二擊:信念,IQ_SECOND_FAITH
第二擊:審判,IQ_SECOND_JUDGEMENT
爆破衝擊,IQ_EXPOSION_BLASTER
焰魔散彈,IQ_MASSIVE_F_BLASTER
防禦架式,IG_GUARD_STANCE
回彈神盾,IG_REBOUND_SHIELD
防盾精熟,IG_SHIELD_MASTERY
矛&劍精熟,IG_SPEAR_SWORD_M
攻擊架式,IG_ATTACK_STANCE
終極犧牲,IG_ULTIMATE_SACRIFICE
抗性聖盾,IG_HOLY_SHIELD
末日審判,IG_GRAND_JUDGEMENT
交錯審判,IG_JUDGEMENT_CROSS
盾牌投擲,IG_SHIELD_SHOOTING
聖十字雨,IG_CROSS_RAIN
舞動血刃,SHC_DANCING_KNIFE
野蠻衝擊,SHC_SAVAGE_IMPACT
影刃旋舞,SHC_SHADOW_SENSE
永恆斬擊,SHC_ETERNAL_SLASH
迷惑魅影,SHC_ENCHANTING_SHADOW
強效毒液,SHC_POTENT_VENOM
魅影強化,SHC_SHADOW_EXCEED
致命影爪,SHC_FATAL_SHADOW_CROW
暗影刺擊,SHC_SHADOW_STAB
神力撞擊,SHC_IMPACT_CRATER
聖光治癒,CD_REPARATIO
治癒誓言,CD_MEDIALE_VOTUM
鈍器&書籍精熟,CD_MACE_BOOK_M
光耀天命,CD_ARGUTUS_VITA
神聖防護,CD_ARGUTUS_TELUM
制裁謳歌,CD_ARBITRIUM
爆裂聖光,CD_PRESENS_ACIES
靈魂忠誠,CD_FIDUS_ANIMUS
破壞擊,CD_EFFLIGO
神聖權能,CD_COMPETENTIA
驅魔風暴,CD_PNEUMATICUS_PROCELLA
博愛治癒,CD_DILECTIO_HEAL
全心奉獻,CD_RELIGIO
祝福讚歌,CD_BENEDICTUM
聖光打擊,CD_PETITIO
聖靈鎮魂,CD_FRAMEN
仿生配藥,BO_BIONIC_PHARMACY
仿生精熟,BO_BIONICS_M
全面化學保護,BO_THE_WHOLE_PROTECTION
全影化學保護,BO_ADVANCE_PROTECTION
強酸禁地(水),BO_ACIDIFIED_ZONE_WATER
強酸禁地(地),BO_ACIDIFIED_ZONE_GROUND
強酸禁地(火),BO_ACIDIFIED_ZONE_FIRE
強酸禁地(風),BO_ACIDIFIED_ZONE_WIND
強酸禁地(火/地/水/風),"BO_ACIDIFIED_ZONE_WATER
BO_ACIDIFIED_ZONE_GROUND
BO_ACIDIFIED_ZONE_FIRE
BO_ACIDIFIED_ZONE_WIND"
召喚神木戰士,BO_WOODENWARRIOR
召喚神木妖精,BO_WOODEN_FAIRY
召喚爬行者,BO_CREEPER
研究報告,BO_RESEARCHREPORT
高階陷阱,WH_ADVANCED_TRAP
八風標記,WH_WIND_SIGN
熱愛自然,WH_NATUREFRIENDLY
獵鷹奇襲,WH_HAWKRUSH
獵鷹精熟,WH_HAWK_M
憤怒暴風,WH_CALAMITYGALE
獵鷹狙擊,WH_HAWKBOOMERANG
毀滅風暴,WH_GALESTORM
深盲陷阱,WH_DEEPBLINDTRAP
磐石陷阱,WH_SOLIDTRAP
急速陷阱,WH_SWIFTTRAP
漸進狙擊,WH_CRESCIVE_BOLT
火焰陷阱,WH_FLAMETRAP
舞台禮儀,TR_STAGE_MANNER
美聲回顧,TR_RETROSPECTION
克瓦希爾奏鳴曲,TR_KVASIR_SONATA
玫瑰箭矢,TR_ROSEBLOSSOM
金屬狂怒,TR_METALIC_FURY
混聲烙印,TR_SOUNDBLEND
葛帔尼亞夜曲,TR_GEF_NOCTURN
洛基奏鳴曲,TR_ROKI_CAPRICCIO
礦工狂想曲,TR_AIN_RHAPSODY
音樂劇插曲,TR_MUSICAL_INTERLUDE
暮色小夜曲,TR_JAWAII_SERENADE
亡靈鎮魂歌,TR_NIPELHEIM_REQUIEM
普隆德拉進行曲,TR_PRON_MARCH
短劍&弓弩精熟,ABC_DAGGER_AND_BOW_M
魔劍精熟,ABC_MAGIC_SWORD_M
卸除影子,ABC_STRIP_SHADOW
深淵匕首,ABC_ABYSS_DAGGER
連鎖射擊,ABC_CHAIN_REACTION_SHOT
萬丈深淵,ABC_FROM_THE_ABYSS
深淵殺手,ABC_ABYSS_SLAYER
終結深淵攻擊,ABC_ABYSS_STRIKE
靈巧刺擊,ABC_DEFT_STAB
深淵墳場,ABC_ABYSS_SQUARE
戰斧踏滅,MT_AXE_STOMP
衝擊撼動,MT_RUSH_QUAKE
製造裝置,MT_M_MACHINE
啟動攻擊裝置,MT_A_MACHINE
啟動防禦裝置,MT_D_MACHINE
雙手斧防禦,MT_TWOAXEDEF
ABR精熟,MT_ABR_M
ABR-決戰勇士,MT_SUMMON_ABR_BATTLE_WARIOR
ABR-雙子加農砲,MT_SUMMON_ABR_DUAL_CANNON
ABR-天網聖母,MT_SUMMON_ABR_MOTHER_NET
ABR-無限戰火,MT_SUMMON_ABR_INFINITY
雙子加農砲火,ABR_DUAL_CANNON_FIRE
決戰破壞者,ABR_BATTLE_BUSTER
修復網,ABR_NET_REPAIR
支援網,ABR_NET_SUPPORT
無穹破壞者,ABR_INFINITY_BUSTER
魔法書精熟,EM_MAGIC_BOOK_M
咒力賦予,EM_SPELL_ENCHANTING
能量燃燼,EM_ACTIVITY_BURN
能量轉換,EM_INCREASING_ACTIVITY
鑽石風暴,EM_DIAMOND_STORM
雷霆陣地,EM_LIGHTNING_LAND
毒液沼澤,EM_VENOM_SWAMP
灼熱岩漿,EM_CONFLAGRATION
大地驅動,EM_TERRA_DRIVE
元素鬥志精熟,EM_ELEMENTAL_SPIRIT_M
召喚元素:阿爾多雷,EM_SUMMON_ELEMENTAL_ARDOR
召喚元素:迪盧比奧,EM_SUMMON_ELEMENTAL_DILUVIO
召喚元素:普羅賽拉,EM_SUMMON_ELEMENTAL_PROCELLA
召喚元素:泰雷莫圖斯,EM_SUMMON_ELEMENTAL_TERREMOTUS
召喚元素:塞爾彭斯,EM_SUMMON_ELEMENTAL_SERPENS
元素破壞,EM_ELEMENTAL_BUSTER
元素天幕,EM_ELEMENTAL_VEIL
火焰神技,EM_EL_FLAMETECHNIC
火焰鎧甲,EM_EL_FLAMEARMOR
火焰隕石,EM_EL_FLAMEROCK
冰凍先鋒,EM_EL_COLD_FORCE
冰晶鎧甲,EM_EL_CRYSTAL_ARMOR
冰河時代,EM_EL_AGE_OF_ICE
恩典微風,EM_EL_GRACE_BREEZE
暴風眼,EM_EL_EYES_OF_STORM
暴風,EM_EL_STORM_WIND
守護大地,EM_EL_EARTH_CARE
強韌防衛,EM_EL_STRONG_PROTECTION
山崩,EM_EL_AVALANCHE
深度中毒,EM_EL_DEEP_POISONING
劇毒護盾,EM_EL_POISON_SHIELD
致命猛毒,EM_EL_DEADLY_POISON
廣域致命魔咒,NPC_DEADLYCURSE2
風暴斬擊,DK_STORMSLASH
瞬間斬擊,IG_OVERSLASH
守護神盾,IG_GUARDIAN_SHIELD
創世之光,LG_RAYOFGENESIS
放逐攻擊,LG_BANISHINGPOINT
召喚地獄樹,BO_HELLTREE
不幸衝擊,ABC_UNLUCKY_RUSH
致命威脅,SC_FATALMENACE
狂暴射擊,ABC_FRENZY_SHOT
魔力巔峰,AG_CLIMAX
次章:審判者,IQ_JUDGE
最終章:驅魔火焰,IQ_THIRD_EXOR_FLAME
節奏射擊,TR_RHYTHMSHOOTING
玫瑰箭矢,TR_ROSEBLOSSOM_ATK
神秘交響曲,TR_MYSTIC_SYMPHONY
高爐鍛造,MH_BLAST_FORGE
回火淬硬,MH_TEMPERING
優雅鼓翼,MH_CLASSY_FLUTTER
旋風切割,MH_TWISTER_CUTTER
絕對微風,MH_ABSOLUTE_ZEPHYR
抓撓複習,MH_BRUSHUP_CLAW
炙烈狂怒,MH_BLAZING_AND_FURIOUS
戰士崛起,MH_THE_ONE_FIGHTER_RISES
研磨細針,MH_POLISHING_NEEDLE
曼陀羅之毒,MH_TOXIN_OF_MANDARA
細針螫刺,MH_NEEDLE_STINGER
光明之角,MH_LICHT_GEHORN
閃光間諜,MH_GLANZEN_SPIES
神聖之馬,MH_HEILIGE_PFERD
金色聲調,MH_GOLDENE_TONE
炙熱熔岩,MH_BLAZING_LAVA
天龍氣息,DK_DRAGONIC_BREATH
閃光衝擊波,MT_SPARK_BLASTER
三連雷射,MT_TRIPLE_LASER
強力粉碎,MT_MIGHTY_SMASH
爆炸炸藥,BO_EXPLOSIVE_POWDER
混亂的荊棘,BO_MAYHEMIC_THORNS
奧丁的祝福,ALL_FULL_THROTTLE
天氣修練,SKE_SKY_MASTERY
兵法修練,SKE_WAR_BOOK_MASTERY
天氣地神,SKE_ENCHANTING_SKY
符咒研究,SOA_TALISMAN_MASTERY
引魂術研究,SOA_SOUL_MASTERY
護身符,SOA_TALISMAN_OF_PROTECTION
武士符,SOA_TALISMAN_OF_WARRIOR
法師符,SOA_TALISMAN_OF_MAGICIAN
城隍廟,SOA_TOTEM_OF_TUTELARY
五行符,SOA_TALISMAN_OF_FIVE_ELEMENTS
天地神靈,SOA_SOUL_OF_HEAVEN_AND_EARTH
靈物互動,SH_MYSTICAL_CREATURE_MASTERY
靈物交流: 鐵虎,SH_COMMUNE_WITH_CHUL_HO
靈物交流: 神龜,SH_COMMUNE_WITH_KI_SUL
神龜灑水砲,SH_KI_SUL_WATER_SPRAYING
神龜劇烈震盪,SH_KI_SUL_RAMPAGE
靈物交流: 玄鹿,SH_COMMUNE_WITH_HYUN_ROK
玄鹿五色角,SH_COLORS_OF_HYUN_ROK
急速交流,SH_TEMPORARY_COMMUNION
靈物祝福,SH_BLESSING_OF_MYSTICAL_CREATURES
P.F.I,NW_P_F_I
榴彈精通,NW_GRENADE_MASTERY
專注瞄準,NW_INTENSIVE_AIM
榴彈碎片,NW_GRENADE_FRAGMENT
自動射擊發射器,NW_AUTO_FIRING_LAUNCHER
王牌出手,NW_HIDDEN_CARD
海市蜃樓,SS_SHINKIROU
致命融化,SS_TOKEDASU
滲透,SS_SHIMIRU
消除惡夢,SS_AKUMUKESU
橫揮斬,DK_HACKANDSLASHER
詭影狩獵,SS_KAGEGARI
詭影舞動,SS_KAGENOMAI
詭影閃光,SS_KAGEGISSEN
風魔飛鏢-掌握,SS_FUUMASHOUAKU
風魔飛鏢-構築,SS_FUUMAKOUCHIKU
飛刀-扭曲,SS_KUNAIWAIKYOKU
飛刀-旋轉,SS_KUNAIKAITEN
飛刀-曲折,SS_KUNAIKUSSETSU
火焰砲,SS_SEKIENHOU
冷焰砲,SS_REIKETSUHOU
雷電砲,SS_RAIDENPOU
金龍砲,SS_KINRYUUHOU
暗戰砲,SS_ANTENPOU
詭影 - 噩夢,SS_KAGEAKUMU
飛刀 - 噩夢,SS_HITOUAKUMU
暗黑龍 - 噩夢,SS_ANKOKURYUUAKUMU
夜裡的警惕,NW_THE_VIGILANTE_AT_NIGHT
夜裡的警惕,NW_THE_VIGILANTE_AT_NIGHT_GUN_SHOTGUN
夜裡的警惕,NW_THE_VIGILANTE_AT_NIGHT_GUN_GATLING
獨一槍彈,NW_ONLY_ONE_BULLET
螺旋射擊,NW_SPIRAL_SHOOTING
梅格競直擊,NW_MAGAZINE_FOR_ONE
曠野之火,NW_WILD_FIRE
初階手榴彈,NW_BASIC_GRENADE
洞中急火,NW_HASTY_FIRE_IN_THE_HOLE
落空手榴彈,NW_GRENADES_DROPPING
任務轟炸機,NW_MISSION_BOMBARD
靈魂聚集,SOA_SOUL_GATHERING
竊魂平安符,SOA_TALISMAN_OF_SOUL_STEALING
死靈淨化,SOA_EXORCISM_OF_MALICIOUS_SOUL
青龍符,SOA_TALISMAN_OF_BLUE_DRAGON
白虎符,SOA_TALISMAN_OF_WHITE_TIGER
朱雀符,SOA_TALISMAN_OF_RED_PHOENIX
玄武符,SOA_TALISMAN_OF_BLACK_TORTOISE
四方神符,SOA_TALISMAN_OF_FOUR_BEARING_GOD
四方五行陣,SOA_CIRCLE_OF_DIRECTIONS_AND_ELEMENTALS
天地一陽,SKE_RISING_SUN
天晨一陽,SKE_NOON_BLAST
天陽,SKE_SUNSET_BLAST
天地一月,SKE_RISING_MOON
天晨一月,SKE_MIDNIGHT_KICK
天月,SKE_DAWN_BREAK
天地萬星,SKE_TWINKLING_GALAXY
天命落星,SKE_STAR_BURST
天星,SKE_STAR_CANNON
天羅萬象,SKE_ALL_IN_THE_SKY
自學策略,HN_SELFSTUDY_TATICS
自學魔法,HN_SELFSTUDY_SOCERY
雙重怪物互擊,HN_DOUBLEBOWLINGBASH
連續盾擊衝撞,HN_SHIELD_CHAIN_RUSH
巨型音速投擲,HN_MEGA_SONIC_BLOW
螺旋擊刺Max,HN_SPIRAL_PIERCE_MAX
隕石術猛擊,HN_METEOR_STORM_BUSTER
雷鳴術風暴,HN_JUPITEL_THUNDER_STORM
新霜凍術,HN_JACK_FROST_NOVA
地獄毀滅,HN_HELLS_DRIVE
地面重力,HN_GROUND_GRAVITATION
念力連擊攻擊,HN_NAPALM_VULCAN_STRIKE
突破極限,HN_BREAKINGLIMIT
突破規矩,HN_RULEBREAK
鐵虎空心爪,SH_CHUL_HO_SONIC_CLAW
鐵虎咆哮,SH_HOWLING_OF_CHUL_HO
虎高空亂打,SH_HOGOGONG_STRIKE
神龜海洋慶典,SH_MARINE_FESTIVAL_OF_KI_SUL
神龜沙雕節,SH_SANDY_FESTIVAL_OF_KI_SUL
玄鹿葉風,SH_HYUN_ROKS_BREEZE
玄鹿砲,SH_HYUN_ROK_CANNON
忍法砲,"SS_SEKIENHOU
SS_REIKETSUHOU
SS_RAIDENPOU
SS_KINRYUUHOU
SS_ANTENPOU"
地獄霜凍,"HN_HELLS_DRIVE
HN_JACK_FROST_NOVA"
強酸禁地,"BO_ACIDIFIED_ZONE_WATER
BO_ACIDIFIED_ZONE_GROUND
BO_ACIDIFIED_ZONE_FIRE
BO_ACIDIFIED_ZONE_WIND"
天龍擊刺,DK_DRAGONIC_PIERCE
帝國威壓,IG_IMPERIAL_PRESSURE
深淵火焰,ABC_ABYSS_FLAME
能量轉換,AG_ENERGY_CONVERSION
超自然流動,EM_PSYCHIC_STREAM
神聖之花,CD_DIVINUS_FLOS
烈火氣彈,IQ_BLAZING_FLAME_BLAST
狂野步,WH_WILD_WALK
天氣神陽,SKE_SKY_SUN
天氣神月,SKE_SKY_MOON
天星知行,SKE_STAR_LIGHT_KICK
危機克服,HN_OVERCOMING_CRISIS
鐵虎亂舞,SH_CHUL_HO_BATTERING
玄鹿的靈力發揮,SH_HYUN_ROK_SPIRIT_POWER
