ウィンドウォーク,SN_WINDWALK
インクリージングアキュラシー,GS_INCREASING
新毒製造,GC_CREATENEWPOISON
マジカルバレット,GS_MAGICALBULLET
クラッカー,GS_CRACKER
クローキングエクシード,GC_CLOAKINGEXCEED
シングルアクション,GS_SINGLEACTION
クロスリッパースラッシャー,GC_CROSSRIPPERSLASHER
スネークアイ,GS_SNAKEEYE
クレメンティア,AB_CLEMENTIA
剣修練,SM_SWORD
シグナムクルシス,AL_CRUCIS
トラッキング,GS_TRACKING
ディスアーム,GS_DISARM
ピアーシングショット,GS_PIERCINGSHOT
ラピッドシャワー,GS_RAPIDSHOWER
デスペラード,GS_DESPERADO
ガトリングフィーバー,GS_GATLINGFEVER
ダスト,GS_DUST
フルバスター,GS_FULLBUSTER
スプレッドアタック,GS_SPREADATTACK
グラウンドドリフト,GS_GROUNDDRIFT
投擲修練,NJ_TOBIDOUGU
銭投げ,NJ_ZENYNAGE
エンジェラス,AL_ANGELUS
影跳び,NJ_SHADOWJUMP
空蝉,NJ_UTSUSEMI
影分身,NJ_BUNSINJYUTSU
忍法修練,NJ_NINPOU
紅炎華,NJ_KOUENKA
火炎陣,NJ_KAENSIN
龍炎陣,NJ_BAKUENRYU
氷閃槍,NJ_HYOUSENSOU
水遁,NJ_SUITON
氷柱落し,NJ_HYOUSYOURAKU
風刃,NJ_HUUJIN
雷撃砕,NJ_RAIGEKISAI
ブレッシング,AL_BLESSING
一閃,NJ_ISSEN
キュアー,AL_CURE
所持限界量増加,MC_INCCARRY
ディスカウント,MC_DISCOUNT
オーバーチャージ,MC_OVERCHARGE
プッシュカート,MC_PUSHCART
エルディカスティスへの帰還,RETURN_TO_ELDICASTES
アイテム鑑定,MC_IDENTIFY
アースクエイク,NPC_EARTHQUAKE
サークルオブファイア,EL_CIRCLE_OF_FIRE
露店開設,MC_VENDING
タイダルウェポン,EL_TIDAL_WEAPON
ドラゴンフィアー,NPC_DRAGONFEAR
パルスストライク,NPC_PULSESTRIKE
ヘルジャッジメント,NPC_HELLJUDGEMENT
ワイドサイレンス,NPC_WIDESILENCE
ワイドフリーズ,NPC_WIDEFREEZE
ワイドブリーディング,NPC_WIDEBLEEDING
ワイドストーン,NPC_WIDESTONE
ワイドコンフューズ,NPC_WIDECONFUSE
ワイドスリープ,NPC_WIDESLEEP
イービルランド,NPC_EVILLAND
メマーナイト,MC_MAMMONITE
スローキャスト,NPC_SLOWCAST
致命的な傷,NPC_CRITICALWOUND
アンチマジック,NPC_ANTIMAGIC
ワイドカース,NPC_WIDECURSE
ワイドスタン,NPC_WIDESTUN
ヴァンパイアギフト,NPC_VAMPIRE_GIFT
ワイドソウルドレイン,NPC_WIDESOULDRAIN
所持限界量増加R,ALL_INCCARRY
ヘルの権能,NPC_HELLPOWER
ふくろうの目,AC_OWL
リバースオーキッシュ,ALL_REVERSEORCISH
ホーリーナイト,ALL_WEWISH
ワシの目,AC_VULTURE
集中力向上,AC_CONCENTRATION
ダブルストレイフィング,AC_DOUBLE
治癒の手(ヒール),HLIF_HEAL
ムーンライト,HFLI_MOON
ゼノスラッシャー,MH_XENO_SLASHER
シュタインワンド,MH_STEINWAND
ラーヴァスライド,MH_LAVA_SLIDE
アローシャワー,AC_SHOWER
カプラ雇用,GD_KAFRACONTRACT
両手剣修練,SM_TWOHAND
ダブルアタック,TF_DOUBLE
ランドマイン(傭兵),MA_LANDMINE
リゲイン,MER_REGAIN
ファイアークローク,EL_FIRE_CLOAK
回避率増加,TF_MISS
ウィンドスラッシュ,EL_WIND_SLASH
スティール,TF_STEAL
ハイディング,TF_HIDING
インベナム,TF_POISON
解毒,TF_DETOXIFY
リザレクション,ALL_RESURRECTION
槍修練,KN_SPEARMASTERY
ガーディアン研究,GD_GUARDRESEARCH
ピアース,KN_PIERCE
サンドマン(傭兵),MA_SANDMAN
テンダー,MER_TENDER
ファイアーマントル,EL_FIRE_MANTLE
ブランディッシュスピア,KN_BRANDISHSPEAR
ハリケーンレイジ,EL_HURRICANE
スピアスタブ,KN_SPEARSTAB
スピアブーメラン,KN_SPEARBOOMERANG
ツーハンドクイッケン,KN_TWOHANDQUICKEN
オートカウンター,KN_AUTOCOUNTER
ボウリングバッシュ,KN_BOWLINGBASH
チャージアタック,KN_CHARGEATK
シュリンク,CR_SHRINK
ソニックアクセラレーション,AS_SONICACCEL
ベナムナイフ,AS_VENOMKNIFE
クローズコンファイン,RG_CLOSECONFINE
サイトブラスター,WZ_SIGHTBLASTER
ライディング,KN_RIDING
ウォーターエレメンタルチェンジ,SA_ELEMENTWATER
ファンタズミックアロー,HT_PHANTASMIC
パンボイス,BA_PANGVOICE
魅惑のウィンク,DC_WINKCHARM
フェイクゼニー,BS_UNFAIRLYTRICK
グリード,BS_GREED
レディムプティオ,PR_REDEMPTIO
気功転移,MO_KITRANSLATION
寸勁,MO_BALKYOUNG
アースエレメンタルチェンジ,SA_ELEMENTGROUND
ファイアーエレメンタルチェンジ,SA_ELEMENTFIRE
ウィンドエレメンタルチェンジ,SA_ELEMENTWIND
HP回復力向上,SM_RECOVERY
騎兵修練,KN_CAVALIERMASTERY
ハイネスヒール,AB_HIGHNESSHEAL
デュプレライト,AB_DUPLELIGHT_MELEE
ベネディクション,MER_BENEDICTION
メイス修練,PR_MACEMASTERY
ウォータースクリーン,EL_WATER_SCREEN
イムポシティオマヌス,PR_IMPOSITIO
サフラギウム,PR_SUFFRAGIUM
アスペルシオ,PR_ASPERSIO
聖体降福,PR_BENEDICTIO
シエナエクセクレイト,WL_SIENNAEXECRATE
クリムゾンロック,WL_CRIMSONROCK
サモンボールライトニング,WL_SUMMONBL
サモンボールライトニング,WL_SUMMON_ATK_WIND
リーディングスペルブック,WL_READING_SB
サンクチュアリ,PR_SANCTUARY
クラスターボム,RA_CLUSTERBOMB
ウォーグストライク,RA_WUGSTRIKE
カモフラージュ,RA_CAMOUFLAGE
メイズトラップ,RA_MAIZETRAP
魔導ギアライセンス,NC_MADOLICENCE
フレイムスローワー,NC_FLAMELAUNCHER
ホバーリング,NC_HOVERING
スローポイズン,PR_SLOWPOISON
アナライズ,NC_ANALYZE
リペア,NC_REPAIR
FAW 解体,NC_DISJOINT
シャドウフォーム,SC_SHADOWFORM
デッドリーインフェクト,SC_DEADLYINFECT
マスカレード：レイジネス,SC_LAZINESS
リカバリー,PR_STRECOVERY
ブラッディラスト,SC_BLOODYLUST
キャノンスピア,LG_CANNONSPEAR
リフレクトダメージ,LG_REFLECTDAMAGE
シールドスペル,LG_SHIELDSPELL
バンディング,LG_BANDING
アースドライブ,LG_EARTHDRIVE
天羅地網,SR_SKYNETBLOW
キリエエレイソン,PR_KYRIE
閃電歩,SR_LIGHTNINGWALK
羅刹破凰撃,SR_GATEOFHELL
点穴 -反-,SR_GENTLETOUCH_CHANGE
恋人たちの為のシンフォニー,WA_SYMPHONY_OF_LOVER
マグニフィカート,PR_MAGNIFICAT
ハーモナイズ,MI_HARMONIZE
グロリア,PR_GLORIA
地獄の歌,WM_POEMOFNETHERWORLD
循環する自然の音,WM_SIRCLEOFNATURE
レックスディビーナ,PR_LEXDIVINA
レーラズの霧,WM_LERADS_DEW
ファイアーウォーク,SO_FIREWALK
ダイヤモンドダスト,SO_DIAMONDDUST
ストライキング,SO_STRIKING
アルージョ,SO_ARRULLO
ターンアンデッド,PR_TURNUNDEAD
エレメンタルシンパシー,SO_EL_SYMPATHY
ウィンドインシグニア,SO_WIND_INSIGNIA
カート改造,GN_REMODELING_CART
ソーントラップ,GN_THORNS_TRAP
クレイジーウィード,GN_CRAZYWEED
クレイジーウィード,GN_CRAZYWEED_ATK
レックスエーテルナ,PR_LEXAETERNA
ミックスクッキング,GN_MIX_COOKING
ギルド拡張,GD_EXTENSION
サクラメント,AB_SECRAMENT
マグヌスエクソシズム,PR_MAGNUS
買取露店開設,ALL_BUYING_STORE
バッシュ,SM_BASH
ファイアーピラー,WZ_FIREPILLAR
リムーブトラップ(傭兵),MA_REMOVETRAP
リキュペレート,MER_RECUPERATE
サイトラッシャー,WZ_SIGHTRASHER
ウォータードロップ,EL_WATER_DROP
タイフーンミサイル,EL_TYPOON_MIS
メテオストーム,WZ_METEOR
ユピテルサンダー,WZ_JUPITEL
ロードオブヴァーミリオン,WZ_VERMILION
ウォーターボール,WZ_WATERBALL
アイスウォール,WZ_ICEWALL
フロストノヴァ,WZ_FROSTNOVA
ストームガスト,WZ_STORMGUST
アーススパイク,WZ_EARTHSPIKE
ヘヴンズドライブ,WZ_HEAVENDRIVE
クァグマイア,WZ_QUAGMIRE
モンスター情報,WZ_ESTIMATION
脳手術,HLIF_BRAIN
オーバードスピード,HFLI_SPEED
ニードルオブパラライズ,MH_NEEDLE_OF_PARALYZE
スタイルチェンジ,MH_STYLE_CHANGE
アングリフスモドス,MH_ANGRIFFS_MODUS
ボルカニックアッシュ,MH_VOLCANIC_ASH
鉄製造,BS_IRON
鋼鉄製造,BS_STEEL
プロボック,SM_PROVOKE
属性石製造,BS_ENCHANTEDSTONE
チャージアロー(傭兵),MA_CHARGEARROW
メンタルキュアー,MER_MENTALCURE
オリデオコン研究,BS_ORIDEOCON
ウォーターバリア,EL_WATER_BARRIER
短剣製作,BS_DAGGER
剣製作,BS_SWORD
両手剣製作,BS_TWOHANDSWORD
斧製作,BS_AXE
メイス製作,BS_MACE
ナックル製作,BS_KNUCKLE
槍製作,BS_SPEAR
ヒルトバインディング,BS_HILTBINDING
鉱石発見,BS_FINDINGORE
武器研究,BS_WEAPONRESEARCH
武器修理,BS_REPAIRWEAPON
スキンテンパリング,BS_SKINTEMPER
ハンマーフォール,BS_HAMMERFALL
偉大なる指導力,GD_LEADERSHIP
アドレナリンラッシュ,BS_ADRENALINE
マグナムブレイク,SM_MAGNUM
ウェポンパーフェクション,BS_WEAPONPERFECT
シャープシューティング(傭兵),MA_SHARPSHOOTING
コンプレス,MER_COMPRESS
オーバートラスト,BS_OVERTHRUST
ウィンドステップ,EL_WIND_STEP
マキシマイズパワー,BS_MAXIMIZE
ストーンハンマー,EL_STONE_HAMMER
スキッドトラップ,HT_SKIDTRAP
ランドマイン,HT_LANDMINE
アンクルスネア,HT_ANKLESNARE
ショックウェーブトラップ,HT_SHOCKWAVE
サンドマン,HT_SANDMAN
フラッシャー,HT_FLASHER
フリージングトラップ,HT_FREEZINGTRAP
ブラストマイン,HT_BLASTMINE
クレイモアトラップ,HT_CLAYMORETRAP
リムーブトラップ,HT_REMOVETRAP
トーキーボックス,HT_TALKIEBOX
ハンドレッドスピア,RK_HUNDREDSPEAR
イグニッションブレイク,RK_IGNITIONBREAK
ファイアードラゴンブレス,RK_DRAGONBREATH
ルーンマスタリー,RK_RUNEMASTERY
クラッシュストライク,RK_CRUSHSTRIKE
ビーストベイン,HT_BEASTBANE
バイタリティアクティベーション,RK_VITALITYACTIVATION
ファイティングスピリット,RK_FIGHTINGSPIRIT
ファントムスラスト,RK_PHANTOMTHRUST
クロスインパクト,GC_CROSSIMPACT
新毒研究,GC_RESEARCHNEWPOISON
アンチドート,GC_ANTIDOTE
ウェポンブロッキング,GC_WEAPONBLOCKING
ファルコンマスタリー,HT_FALCON
ポイズンスモーク,GC_POISONSMOKE
ファントムメナス,GC_PHANTOMMENACE
ローリングカッター,GC_ROLLINGCUTTER
アドラムス,AB_ADORAMUS
カントキャンディダス,AB_CANTO
インデュア,SM_ENDURE
スチールクロウ,HT_STEELCROW
ラウダラムス,AB_LAUDARAMUS
クリアランス,AB_CLEARANCE
デュプレライト,AB_DUPLELIGHT_MAGIC
ブリッツビート,HT_BLITZBEAT
ディテクティング,HT_DETECTING
スプリングトラップ,HT_SPRINGTRAP
ウィンドカーテン,EL_WIND_CURTAIN
右手修練,AS_RIGHT
ロッククラッシャー,EL_ROCK_CRUSHER
左手修練,AS_LEFT
カタール修練,AS_KATAR
クローキング,AS_CLOAKING
ソニックブロー,AS_SONICBLOW
グリムトゥース,AS_GRIMTOOTH
エンチャントポイズン,AS_ENCHANTPOISON
ラディウス,WL_RADIUS
ヘルインフェルノ,WL_HELLINFERNO
アースストレイン,WL_EARTHSTRAIN
ポイズンリアクト,AS_POISONREACT
サモンウォーターボール,WL_SUMMONWB
サモンウォーターボール,WL_SUMMON_ATK_WATER
ベナムダスト,AS_VENOMDUST
ウォーグマスタリー,RA_WUGMASTERY
ウォーグバイト,RA_WUGBITE
ベナムスプラッシャー,AS_SPLASHER
ブーストナックル,NC_BOOSTKNUCKLE
コールドスローワー,NC_COLDSLOWER
フロントサイドスライド,NC_F_SIDESLIDE
応急手当,NV_FIRSTAID
マグネティックフィールド,NC_MAGNETICFIELD
斧鍛錬,NC_TRAININGAXE
アックストルネード,NC_AXETORNADO
死んだふり,NV_TRICKDEAD
トライアングルショット,SC_TRIANGLESHOT
マスカレード：エナベーション,SC_ENERVATION
SP回復力向上,MG_SRECOVERY
移動時HP回復,SM_MOVINGRECOVERY
バニシングポイント,LG_BANISHINGPOINT
ピンポイントアタック,LG_PINPOINTATTACK
急所攻撃,SM_FATALBLOW
ムーンスラッシャー,LG_MOONSLASHER
ヘスペルスリット,LG_HESPERUSLIT
地雷震,SR_EARTHSHAKER
オートバーサーク,SM_AUTOBERSERK
吸気功,SR_ASSIMILATEPOWER
点穴 -默-,SR_GENTLETOUCH_QUIET
矢作成,AC_MAKINGARROW
月明かりのセレナーデ,WA_MOONLIT_SERENADE
チャージアロー,AC_CHARGEARROW
砂まき,TF_SPRINKLESAND
バックステップ,TF_BACKSLIDING
石拾い,TF_PICKSTONE
セイレーンの声,WM_VOICEOFSIREN
不確定要素の言語,WM_RANDOMIZESPELL
石投げ,TF_THROWSTONE
メロディーオブシンク,WM_MELODYOFSINK
カートレボリューション,MC_CARTREVOLUTION
ポイズンバスター,SO_POISON_BUSTER
ウォーマー,SO_WARMER
エレメンタルコントロール,SO_EL_CONTROL
チェンジカート,MC_CHANGECART
カートデコレーション,MC_CARTDECORATE
エレメンタルキュアー,SO_EL_CURE
アースインシグニア,SO_EARTH_INSIGNIA
ラウドボイス,MC_LOUD
ブラッドサッカー,GN_BLOOD_SUCKER
ホーリーライト,AL_HOLYLIGHT
爆弾製造,GN_MAKEBOMB
冷静な心,GD_SOULCOLD
エナジーコート,MG_ENERGYCOAT
守護者の呼びかけ,ALL_GUARDIAN_RECALL
サイト,MG_SIGHT
バッシュ(傭兵),MS_BASH
ブランディッシュスピア(傭兵),ML_BRANDISH
オートバーサーク(傭兵),MER_AUTOBERSERK
ゼファー,EL_ZEPHYR
ファイアーアロー,EL_FIRE_ARROW
ナパームビート,MG_NAPALMBEAT
キャッスリング,HAMI_CASTLE
カプリス,HVAN_CAPRICE
ペインキラー,MH_PAIN_KILLER
シルバーベインラッシュ,MH_SILVERVEIN_RUSH
C.B.C,MH_CBC
鋭い視線,GD_HAWKEYES
セイフティウォール,MG_SAFETYWALL
マグナムブレイク(傭兵),MS_MAGNUM
スパイラルピアース,ML_SPIRALPIERCE
速度減少(傭兵),MER_DECAGI
ソリッドスキン,EL_SOLID_SKIN
ファイアーボム,EL_FIRE_BOMB
ストーンレイン,EL_STONE_RAIN
ソウルストライク,MG_SOULSTRIKE
スナッチャー,RG_SNATCHER
スティールコイン,RG_STEALCOIN
バックスタブ,RG_BACKSTAP
トンネルドライブ,RG_TUNNELDRIVE
サプライズアタック,RG_RAID
ストリップウェポン,RG_STRIPWEAPON
ストリップシールド,RG_STRIPSHIELD
ストリップアーマー,RG_STRIPARMOR
ストリップヘルム,RG_STRIPHELM
インティミデイト,RG_INTIMIDATE
グラフィティ,RG_GRAFFITI
臨戦態勢,GD_BATTLEORDER
フラッググラフィティ,RG_FLAGGRAFFITI
クリーナー,RG_CLEANER
ギャングスターパラダイス,RG_GANGSTER
コールドボルト,MG_COLDBOLT
コンパルションディスカウント,RG_COMPULSION
ボウリングバッシュ(傭兵),MS_BOWLINGBASH
ディフェンダー(傭兵),ML_DEFENDER
クローンスキル,RG_PLAGIARISM
双龍脚,SR_DRAGONCOMBO
ストリップアクセサリー,SC_STRIPACCESSARY
栄光の傷,GD_GLORYWOUNDS
斧修練,AM_AXEMASTERY
ガーディアン強化,GD_GUARDUP
正規ギルド承認,GD_APPROVAL
速度増加(傭兵),MER_INCAGI
ラーニングポーション,AM_LEARNINGPOTION
ブレッシング(傭兵),MER_BLESSING
キリエエレイソン(傭兵),MER_KYRIE
ストーンシールド,EL_STONE_SHIELD
ファーマシー,AM_PHARMACY
モンスター情報(傭兵),MER_ESTIMATION
レックスディビーナ(傭兵),MER_LEXDIVINA
スケープゴート,MER_SCAPEGOAT
デモンストレーション,AM_DEMONSTRATION
プロボック(傭兵),MER_PROVOKE
クラッシュ,MER_CRASH
サイト(傭兵),MER_SIGHT
アシッドテラー,AM_ACIDTERROR
オートガード(傭兵),ML_AUTOGUARD
ピアース(傭兵),ML_PIERCE
ポーションピッチャー,AM_POTIONPITCHER
フリージングトラップ(傭兵),MA_FREEZINGTRAP
スキッドトラップ(傭兵),MA_SKIDTRAP
アローシャワー(傭兵),MA_SHOWER
バイオプラント,AM_CANNIBALIZE
ダブルストレイフィング(傭兵),MA_DOUBLE
バーサーク(傭兵),MS_BERSERK
リフレクトシールド(傭兵),MS_REFLECTSHIELD
スフィアーマイン,AM_SPHEREMINE
パリイング(傭兵),MS_PARRYING
パイロクラスティック,MH_PYROCLASTIC
グラニティックアーマー,MH_GRANITIC_ARMOR
ケミカルウェポンチャージ,AM_CP_WEAPON
マグマフロー,MH_MAGMA_FLOW
ブラスト,EL_BLAST
ティンダーブレイカー,MH_TINDER_BREAKER
ケミカルシールドチャージ,AM_CP_SHIELD
ハイリエージュスタンジェ,MH_HEILIGE_STANGE
ゴールデンペルジェ,MH_GOLDENE_FERSE
カウンターヒール,NPC_ALLHEAL
ケミカルアーマーチャージ,AM_CP_ARMOR
ペトロロジー,EL_PETROLOGY
ソニッククロー,MH_SONIC_CRAW
サイレントブリーズ,MH_SILENT_BREEZE
ケミカルヘルムチャージ,AM_CP_HELM
イレイサーカッター,MH_ERASER_CUTTER
オーバードブースト,MH_OVERED_BOOST
再生の光,MH_LIGHT_OF_REGENE
生命倫理,AM_BIOETHICS
ポイズンミスト,MH_POISON_MIST
サモンレギオン,MH_SUMMON_LEGION
バイオエクスプロージョン,HVAN_EXPLOSION
生命工学研究,AM_BIOTECHNOLOGY
クリエイトコンバーター,SA_CREATECON
ワイルドストーム,EL_WILD_STORM
フロストダイバー,MG_FROSTDIVER
S.B.R.44,HFLI_SBR44
フリットムーブ,HFLI_FLEET
ブラッドラスト,HAMI_BLOODLUST
カルティベイション,AM_CULTIVATION
アダマンティウムスキン,HAMI_SKIN
カーズドソイル,EL_CURSED_SOIL
メンタルチェンジ,HLIF_CHANGE
フレイムコントロール,AM_FLAMECONTROL
緊急回避,HLIF_AVOID
オーバーブランド,LG_OVERBRAND
オーバーブランド,LG_OVERBRAND_BRANDISH
オーバーブランド,LG_OVERBRAND_PLUSATK
コールホムンクルス,AM_CALLHOMUN
雷光弾,SR_RIDEINLIGHTNING
獅子吼,SR_HOWLINGOFLION
號砲,SR_TIGERCANNON
安息,AM_REST
チェンジマテリアル,GN_CHANGEMATERIAL
スリングアイテム,GN_SLINGITEM
スリングアイテム,GN_SLINGITEM_RANGEMELEEATK
ハウリングオブマンドラゴラ,GN_MANDRAGORA
ヘルズプラント,GN_HELLS_PLANT
ヘルズプラント,GN_HELLS_PLANT_ATK
ファイアーエクスパンション,GN_FIRE_EXPANSION
ファイアーエクスパンション,GN_FIRE_EXPANSION_SMOKE_POWDER
ファイアーエクスパンション,GN_FIRE_EXPANSION_TEAR_GAS
ファイアーエクスパンション,GN_FIRE_EXPANSION_ACID
デモニックファイアー,GN_DEMONIC_FIRE
ソーンウォール,GN_WALLOFTHORN
破碎柱,SR_CRESCENTELBOW
破碎柱,SR_CRESCENTELBOW_AUTOSPELL
改造カートブースト,GN_CARTBOOST
リザレクションホムンクルス,AM_RESURRECTHOMUN
カートキャノン,GN_CARTCANNON
剣鍛錬,GN_TRAINING_SWORD
フェイス,CR_TRUST
ウォータースクリュー,EL_WATER_SCREW
アイスニードル,EL_ICE_NEEDLE
オートガード,CR_AUTOGUARD
ファイアーウェーブ,EL_FIRE_WAVE
シールドチャージ,CR_SHIELDCHARGE
アップヒーバル,EL_UPHEAVAL
ディフェンス,HAMI_DEFENCE
カオティックベネディクション,HVAN_CHAOTIC
シールドブーメラン,CR_SHIELDBOOMERANG
ミッドナイトフレンジ,MH_MIDNIGHT_FRENZY
E.Q.C,MH_EQC
ガスト,EL_GUST
リフレクトシールド,CR_REFLECTSHIELD
チリエアー,EL_CHILLY_AIR
クーラー,EL_COOLER
激励,GD_REGENERATION
ホーリークロス,CR_HOLYCROSS
クラウドキル,SO_CLOUD_KILL
アクアプレイ,EL_AQUAPLAY
エレメンタルアクション,SO_EL_ACTION
グランドクロス,CR_GRANDCROSS
ウォーターインシグニア,SO_WATER_INSIGNIA
潜龍昇天,SR_RAISINGDRAGON
全気注入,SR_POWERVELOCITY
ディボーション,CR_DEVOTION
サモンアクア,SO_SUMMON_AQUA
基本スキル,NV_BASIC
ストーンカース,MG_STONECURSE
プロヴィデンス,CR_PROVIDENCE
エウカリスティカ,AB_EUCHARISTICA
ディフェンダー,CR_DEFENDER
シレンティウム,AB_SILENTIUM
スピアクイッケン,CR_SPEARQUICKEN
サモンテラ,SO_SUMMON_TERA
鉄拳,MO_IRONHAND
サモンベントス,SO_SUMMON_VENTUS
息吹,MO_SPIRITSRECOVERY
エレメンタルアナライシス,SO_EL_ANALYSIS
気功,MO_CALLSPIRITS
気奪,MO_ABSORBSPIRITS
バキュームエクストリーム,SO_VACUUM_EXTREME
三段掌,MO_TRIPLEATTACK
パワーオブガイア,EL_POWER_OF_GAIA
残影,MO_BODYRELOCATION
点穴 -球-,SR_GENTLETOUCH_ENERGYGAIN
見切り,MO_DODGE
アースグレイヴ,SO_EARTHGRAVE
発勁,MO_INVESTIGATE
指弾,MO_FINGEROFFENSIVE
エレクトリックウォーク,SO_ELECTRICWALK
金剛,MO_STEELBODY
エンドレスハミングボイス,WM_UNLIMITED_HUMMING_VOICE
白刃取り,MO_BLADESTOP
スイングダンス,WA_SWING_DANCE
爆裂波動,MO_EXPLOSIONSPIRITS
フライデーナイトフィーバー,WM_SATURDAY_NIGHT_FEVER
阿修羅覇凰拳,MO_EXTREMITYFIST
ファイアーボール,MG_FIREBALL
連打掌,MO_CHAINCOMBO
サウンドオブディストラクション,WM_SOUND_OF_DESTRUCTION
猛龍拳,MO_COMBOFINISH
ダンスウィズウォーグ,WM_DANCE_WITH_WUG
アドバンスドブック,SA_ADVANCEDBOOK
マナの歌,WM_SONG_OF_MANA
キャストキャンセル,SA_CASTCANCEL
ホワイトインプリズン,WL_WHITEIMPRISON
